date,close,open,high,low,vol,amount
20180404,10684.5618,10778.8602,10829.8205,10678.9355,193163743.0,278469992.8
20180409,10653.3758,10655.072,10725.1054,10571.1563,185794685.0,259579501.8
20180410,10765.6151,10671.6854,10765.6151,10628.2365,199741594.0,279166452.6
20180411,10808.37,10796.5004,10856.4358,10786.8367,191004361.0,270248587.4
20180412,10726.9548,10797.3529,10825.6643,10720.8334,171686889.0,243642065.9
20180413,10687.0183,10789.7677,10825.6675,10670.6492,161837312.0,232703927.0
20180416,10621.7884,10660.69,10704.3913,10540.6904,188159462.0,258479169.5
20180417,10395.1566,10636.8761,10669.1499,10390.0549,202286400.0,280932022.2
20180418,10491.1497,10477.5197,10514.7408,10249.873,215834944.0,292286613.1
20180419,10598.353,10502.3628,10646.7019,10485.4124,203988578.0,286889140.7
20180420,10408.9103,10571.9907,10619.1738,10392.6904,196805692.0,262162356.7
20180423,10330.629,10416.7783,10471.2099,10228.0937,179579807.0,235947174.2
20180424,10556.8221,10325.5102,10556.8221,10325.5102,190970006.0,256845970.5
20180425,10547.0987,10503.9412,10579.1778,10488.8741,183348346.0,258197683.6
20180426,10292.1195,10495.027,10508.0126,10290.3656,186332439.0,261166243.9
20180427,10324.4679,10353.0232,10382.767,10239.9742,164776511.0,232558977.5
20180502,10342.8457,10356.192,10433.2799,10283.5157,160567095.0,216936706.7
20180503,10458.6223,10329.1609,10459.3851,10228.2571,177743321.0,234010634.0
20180504,10426.1884,10428.8459,10490.0569,10411.8262,150582422.0,211943199.1
20180507,10626.5086,10456.4291,10626.5086,10450.494,174177180.0,243704274.7
20180508,10707.804,10632.112,10721.9839,10630.5801,182770938.0,254773009.9
20180509,10689.0715,10693.215,10705.1471,10639.9199,169498644.0,229130519.4
20180510,10729.7655,10706.7286,10742.641,10651.8659,180925300.0,247278039.4
20180511,10634.3004,10748.8902,10752.8248,10634.2271,180171412.0,246766583.1
20180514,10671.4575,10649.1116,10723.7873,10641.2943,169570273.0,234726448.9
20180515,10747.9932,10692.8209,10747.9932,10632.5458,157932634.0,215123553.9
20180516,10701.3231,10713.5914,10776.4345,10691.1404,165521883.0,227295355.7
20180517,10635.4985,10702.065,10713.7126,10615.9224,150682885.0,206557215.6
20180518,10672.5222,10623.9128,10679.5102,10557.7502,154568052.0,208174225.6
20180521,10765.3476,10741.1872,10789.7576,10731.6071,191005737.0,258556054.4
20180522,10765.8051,10754.7021,10765.8051,10689.5099,179543850.0,252476328.6
20180523,10631.1235,10746.8167,10746.8167,10631.1235,186496581.0,261399500.5
20180524,10564.1271,10632.5036,10657.4477,10552.3466,158449317.0,221567398.6
20180525,10448.2249,10550.6259,10576.8104,10435.9467,172760872.0,232126098.6
20180528,10465.5372,10439.6479,10536.5725,10382.7165,169664088.0,229962071.9
20180529,10349.065,10446.9876,10517.1374,10347.9395,168436143.0,229850989.6
20180530,10105.7945,10203.6595,10252.148,10097.4764,197606894.0,246263303.0
20180531,10295.729,10178.9632,10295.729,10115.6597,174687655.0,223329173.6
20180601,10169.3541,10247.1554,10280.7399,10122.9886,162718880.0,208986405.8
20180604,10204.3167,10192.0432,10237.5962,10148.6938,145772249.0,191048308.6
20180605,10385.6052,10216.6261,10385.6052,10216.0226,152789658.0,205931776.5
20180606,10365.1256,10375.2579,10403.9313,10337.7141,145456730.0,197067355.1
20180607,10313.8458,10397.6478,10411.5558,10308.0593,147571355.0,192944850.9
20180608,10205.5178,10290.6287,10291.8951,10136.5842,151727244.0,192911908.6
20180611,10175.3463,10191.3068,10242.7581,10141.2711,131225344.0,177860882.9
20180612,10315.2841,10187.3113,10322.9961,10124.9826,142568223.0,196641566.3
20180613,10161.6484,10280.0771,10287.9958,10161.3869,142851632.0,186972512.0
20180614,10084.1825,10124.7628,10213.7923,10054.3695,130720916.0,169792246.8
20180615,9943.1268,10077.4267,10108.5327,9902.6342,159964433.0,193958895.8
20180619,9414.7576,9775.9661,9815.0127,9336.6984,214212671.0,232494995.5
20180620,9501.3366,9367.7442,9549.5296,9310.1856,169974561.0,194874625.8
20180621,9316.6758,9493.5044,9573.4859,9313.0917,173337573.0,196624850.2
20180622,9409.953,9247.0189,9416.0896,9172.2964,152509541.0,172146233.6
20180625,9324.8315,9472.9124,9494.4375,9320.6624,150021423.0,175553599.7
20180626,9339.3704,9200.9972,9364.5113,9175.3858,163332503.0,187372049.1
20180627,9168.6614,9338.0057,9378.0783,9139.8162,158240662.0,183706323.1
20180628,9071.7291,9130.5243,9230.8902,9065.2044,152800208.0,176326504.3
20180629,9379.4749,9100.5955,9381.025,9078.242,180437085.0,207416534.6
20180702,9179.7955,9369.2438,9393.0977,9107.546,180839646.0,210042640.9
20180703,9221.5357,9184.3116,9233.0202,8945.4191,193249685.0,232206208.9
20180704,9035.486,9182.9584,9200.2724,9008.089,170891455.0,198615675.6
20180705,8862.1773,9036.1212,9096.5389,8844.6734,163346226.0,182472261.4
20180706,8911.3415,8873.8997,9035.454,8736.3551,186062997.0,208214304.1
20180709,9160.6208,8954.314,9160.6208,8954.314,161689088.0,190277975.9
20180710,9205.426,9176.2905,9213.8654,9123.2193,163300557.0,193348049.0
20180711,9023.8198,9024.7202,9092.8777,8916.9797,178766515.0,202787585.2
20180712,9273.6136,9019.9631,9312.3749,9019.9631,211251550.0,245476370.5
20180713,9326.9668,9288.4715,9344.6523,9270.1984,186432415.0,219715594.8
20180716,9317.3554,9322.9727,9366.2122,9278.0739,166706969.0,196006858.7
20180717,9285.1626,9307.6597,9307.6597,9175.6575,159232332.0,184592754.3
20180718,9195.2393,9293.201,9335.095,9195.2393,175256581.0,198838579.4
20180719,9148.7819,9214.8986,9266.9347,9116.4475,161620344.0,181552590.2
20180720,9251.4803,9141.5115,9277.9519,9055.8634,169930479.0,192701385.8
20180723,9314.3036,9188.4684,9314.3036,9160.047,199809119.0,224042743.7
20180724,9465.8021,9316.6486,9491.2442,9313.1691,244672639.0,264149640.6
20180725,9463.7599,9475.7207,9514.938,9436.9862,213146958.0,230878642.6
20180726,9352.2508,9467.5645,9488.3902,9331.4528,229138686.0,222740396.4
20180727,9295.9295,9344.7482,9363.1699,9270.3547,188934763.0,178252637.6
20180730,9181.9403,9289.3568,9309.4418,9139.7377,178357087.0,180699888.8
20180731,9178.7806,9168.8303,9216.7281,9132.0779,147991098.0,153584226.4
20180801,9005.3729,9205.745,9235.7413,9005.3729,173264529.0,176825902.6
20180802,8780.5565,8971.7101,8971.7101,8613.8385,211111166.0,209522340.8
20180803,8602.1178,8767.5624,8807.9469,8602.1178,152843384.0,155634177.3
20180806,8422.839,8582.4297,8638.3659,8374.3977,159152334.0,158118490.0
20180807,8674.0253,8453.5465,8674.0253,8379.6995,171924079.0,169408414.3
20180808,8499.2197,8654.5536,8665.3944,8498.2121,171693500.0,165379267.2
20180809,8752.2013,8475.7865,8797.585,8460.4295,199857185.0,195979183.8
20180810,8813.4859,8752.9359,8839.2864,8742.3999,159645039.0,165058973.3
20180813,8844.8574,8712.1235,8855.6162,8676.2106,160953763.0,171116199.1
20180814,8784.8999,8832.2682,8843.565,8752.7607,152129692.0,155968625.2
20180815,8581.1775,8786.3497,8786.3497,8567.2269,163432378.0,159319223.5
20180816,8500.422,8470.9094,8628.9145,8408.0013,157105421.0,153176633.2
20180817,8357.0408,8573.5693,8597.7863,8341.1048,152746928.0,150008294.7
20180820,8414.1541,8355.0002,8414.1541,8241.1431,149839733.0,150695165.9
20180821,8549.0623,8419.7868,8561.7934,8396.5818,148513880.0,158587359.6
20180822,8454.7494,8533.4289,8533.4289,8440.5841,133426219.0,130788557.9
20180823,8501.3927,8446.9836,8543.4184,8411.7386,140125085.0,144363836.4
20180824,8484.7443,8480.2244,8544.2509,8438.0835,140519861.0,136518178.7
20180827,8728.5618,8511.3743,8728.5618,8511.3743,178436151.0,181849826.0
20180828,8733.7471,8731.6394,8758.706,8693.5243,162576031.0,166333926.1
20180829,8678.2621,8716.8172,8724.8111,8649.7328,154352065.0,145148294.8
20180830,8552.7981,8666.9025,8701.0415,8543.7874,157376475.0,147057340.6
20180831,8465.4696,8509.2723,8536.0593,8425.3488,138909481.0,133742271.1
20180903,8455.5459,8440.9528,8459.9495,8344.9294,145309019.0,138221082.0
20180904,8554.4366,8454.1357,8573.1972,8420.8835,161407196.0,154187889.7
20180905,8402.5081,8519.5698,8536.8355,8402.5081,166313903.0,151426734.0
20180906,8324.1628,8369.3029,8450.8888,8295.4784,144449452.0,143254239.9
20180907,8322.3639,8344.5687,8462.3917,8270.4014,160347052.0,158206479.2
20180910,8158.4869,8310.4575,8311.9147,8155.3514,155414176.0,144973776.3
20180911,8168.1013,8155.9464,8216.6168,8112.001,135954583.0,124255605.3
20180912,8111.1574,8162.1683,8196.8638,8095.0061,128076090.0,124329407.8
20180913,8163.7596,8196.2096,8227.1951,8038.1197,156021949.0,148401945.2
20180914,8113.8836,8173.5565,8180.7021,8090.396,160010224.0,145771395.0
20180917,7999.3466,8068.0606,8074.7901,7977.4367,141937347.0,119820059.3
20180918,8133.2174,7970.4518,8133.9014,7958.5195,160542170.0,140630878.4
20180919,8248.1171,8111.2408,8313.6181,8097.2294,200529784.0,179756555.6
20180920,8233.8883,8241.6995,8295.1335,8218.375,177806991.0,145532503.2
20180921,8409.1787,8258.0155,8419.4707,8216.6771,197594126.0,172515210.5
20180925,8353.3756,8336.7546,8390.6455,8311.9262,149970129.0,133842765.8
20180926,8420.5411,8369.519,8485.6781,8344.7246,182897175.0,165306186.0
20180927,8334.7505,8411.1843,8434.8688,8331.7813,191355630.0,162586350.6
20180928,8401.0893,8351.6313,8405.9846,8317.4791,155515372.0,137841080.6
20181008,8060.8301,8225.8383,8249.3895,8055.9766,164590316.0,147414817.4
20181009,8046.3868,8083.2316,8132.1505,8013.1879,134621899.0,121538589.5
20181010,8010.6872,8062.4583,8090.2168,7952.1336,139300394.0,124726716.5
20181011,7524.0925,7753.0279,7803.2937,7481.8949,234967642.0,188563013.6
20181012,7558.277,7484.8629,7595.9264,7331.8109,210084270.0,166093713.3
20181015,7444.4806,7571.7134,7622.0303,7430.9552,157507890.0,133513483.1
20181016,7298.9789,7444.9362,7493.149,7263.2932,157665052.0,129276931.3
20181017,7365.2085,7390.6856,7419.2079,7206.3358,171300148.0,141153576.2
20181018,7187.4865,7309.0038,7316.1914,7182.3866,162453342.0,133097384.8
20181019,7387.7419,7097.0355,7390.9199,7084.4428,184794328.0,156915385.6
20181022,7748.8238,7464.9151,7816.8204,7464.9151,257882927.0,224719347.3
20181023,7574.9855,7752.1837,7769.5237,7523.0697,221267195.0,190659524.2
20181024,7545.113,7531.6023,7653.2399,7484.6255,183170082.0,155062857.4
