date,close,open,high,low,vol,amount,market,change_pct,ma5,ma10,ma20,ma60
1991-11-29,899.8,932.27,935.91,867.16,29569.0,39676.38,深市,-3.8726563751936283,947.134,983.0409999999999,989.8285,687.8048333333334
1991-12-02,873.26,881.62,887.04,852.03,32448.0,41969.07,深市,-2.9495443431873714,922.8,978.607,991.8014999999999,695.2036666666665
1991-12-03,909.47,871.52,918.36,865.48,21802.0,30593.125,深市,4.1465313881318355,918.778,963.0039999999999,991.3695,703.2616666666667
1991-12-04,911.56,912.01,929.5,902.58,21711.0,30244.355,深市,0.22980417166040823,906.0279999999999,947.939,990.9950000000001,711.4613333333333
1991-12-05,879.01,912.74,913.13,869.25,10708.0,14447.79,深市,-3.5708017025757988,894.6200000000001,934.8489999999999,990.9855,719.4031666666666
1991-12-06,893.58,880.0,897.52,868.81,16804.0,21879.88,深市,1.6575465580596305,893.376,920.2549999999999,990.6850000000001,727.4668333333334
1991-12-09,911.79,902.8,916.92,896.83,21782.0,28261.695,深市,2.0378701403343857,901.082,911.941,990.5335000000001,735.8226666666667
1991-12-10,922.39,910.95,924.76,908.96,20849.0,28643.995,深市,1.162548393818752,903.6659999999999,911.222,980.517,744.237
1991-12-11,916.16,924.09,929.12,910.96,15785.0,22093.81,深市,-0.6754192911891943,904.586,905.307,968.8264999999999,752.5223333333332
1991-12-12,900.16,915.93,915.93,891.43,12718.0,15063.335,深市,-1.7464198393293717,908.816,901.7180000000001,954.4925000000001,760.5498333333333
1991-12-13,879.26,894.42,894.72,871.06,30017.0,31765.685,深市,-2.3218094560966906,905.952,899.664,941.3525,768.3065
1991-12-16,898.15,890.01,902.9,882.88,17049.0,20401.225,深市,2.1483975160930813,903.2239999999999,902.1529999999999,940.3799999999999,776.4005000000001
1991-12-17,890.63,900.13,903.23,885.23,13145.0,15816.36,深市,-0.8372766241719121,896.872,900.269,931.6364999999998,784.3945
1991-12-18,891.0,890.22,894.9,881.07,12086.0,15414.52,深市,0.04154362642174725,891.8399999999999,898.213,923.0759999999998,792.4415
1991-12-19,887.33,891.27,891.91,882.11,12690.0,15857.59,深市,-0.41189674523007813,889.274,899.0449999999998,916.9469999999999,800.438
1991-12-20,886.13,887.16,892.14,879.62,12165.0,15230.505,深市,-0.1352371721907386,890.6479999999999,898.3,909.2774999999999,808.3996666666666
1991-12-23,898.97,887.17,901.75,885.28,14835.0,19438.67,深市,1.4489973254488753,890.8120000000001,897.018,904.4794999999998,816.5998333333333
1991-12-24,962.97,899.73,968.95,895.97,37357.0,43020.25,深市,7.119258707187104,905.28,901.076,906.149,825.8321666666667
1991-12-25,959.07,962.46,992.55,950.12,29358.0,41415.92,深市,-0.40499704040624085,918.894,905.367,905.3369999999999,834.978
1991-12-26,930.27,958.18,959.11,921.71,23948.0,31877.55,深市,-3.002909068159787,927.482,908.378,905.048,843.5861666666666
1991-12-27,944.38,930.97,946.0,925.94,22182.0,30277.165,深市,1.5167639502509989,939.132,914.89,907.277,851.9583333333334
1991-12-30,953.42,967.87,970.5,947.3,15104.0,20875.855,深市,0.9572417882631967,950.0219999999999,920.417,911.2849999999999,860.5428333333333
1991-12-31,963.57,953.23,966.92,950.31,10940.0,14585.62,深市,1.0645885339095162,950.142,927.711,913.99,868.4146666666667
1992-01-02,964.7,966.22,973.06,958.89,18109.0,26534.65,深市,0.11727222723829644,951.268,935.0809999999999,916.6469999999999,874.7181666666667
1992-01-03,962.16,965.38,969.15,957.72,18252.0,26621.995,深市,-0.2632942883798117,957.646,942.564,920.8045,878.8733333333333
1992-01-06,973.08,960.99,976.17,958.11,23925.0,34639.515,深市,1.1349463706660012,963.3860000000001,951.259,924.7795,884.4011666666665
1992-01-07,986.99,972.53,990.98,968.49,33062.0,48672.105,深市,1.4294816459078374,970.1,960.0609999999999,928.5394999999999,889.7178333333334
1992-01-08,979.09,984.81,992.2,968.2,24403.0,35751.265,深市,-0.8004133780484035,973.2040000000001,961.673,931.3744999999999,894.5026666666666
1992-01-09,982.93,983.75,988.47,973.16,12703.0,19085.44,深市,0.39220092126361905,976.85,964.059,934.713,899.938
1992-01-10,985.67,983.77,987.19,976.11,10031.0,16060.155,深市,0.2787584059902537,981.552,969.5989999999999,938.9885,905.5528333333333
1992-01-13,976.56,986.68,986.94,973.34,10388.0,16375.66,深市,-0.9242444225755042,982.2479999999999,972.817,943.8534999999999,910.6266666666667
1992-01-14,962.72,976.22,977.07,958.02,9367.0,12985.105,深市,-1.4172196280822447,977.394,973.7470000000001,947.082,915.4076666666666
1992-01-15,954.01,963.73,968.66,949.87,23748.0,29335.36,深市,-0.9047282699019443,972.378,972.7910000000002,950.251,920.1261666666667
