date,financing_balance,financing_purchase,financing_redeem,securities_lending_balance,securities_lending_sell,securities_lending_shares,margin_balance,market,margin_balance_change
2010-10-29,4296990516.0,459821357.0,487711815.0,8471305.0,245900.0,0.0,4305461821.0,沪市,-0.7131291369225745
2010-11-01,4341749551.0,498627782.0,453868747.0,10079811.0,200210.0,0.0,4351829362.0,沪市,1.0769469786920727
2010-11-02,4470409233.0,771255747.0,642596065.0,8514685.0,498653.0,0.0,4478923918.0,沪市,2.920485741232981
2010-11-03,4579337355.0,644200987.0,535272865.0,10323308.0,328300.0,0.0,4589660663.0,沪市,2.472396205592342
2010-11-04,4687431943.0,616399880.0,508305292.0,11538012.0,370710.0,0.0,4698969955.0,沪市,2.381642130565509
2010-11-05,4878634897.0,845292430.0,654089476.0,12221523.0,147200.0,0.0,4890856420.0,沪市,4.083585697240322
2010-11-08,5205338554.0,747835334.0,421131677.0,12687718.0,321475.0,0.0,5218026272.0,沪市,6.689418455674079
2010-11-09,5427122250.0,673362671.0,451578975.0,8898349.0,238736.0,0.0,5436020599.0,沪市,4.177716163863732
2010-11-10,5669380056.0,742219805.0,499961999.0,9812493.0,146123.0,0.0,5679192549.0,沪市,4.4733448957999355
2010-11-11,5772737492.0,808783051.0,705425615.0,8561789.0,225200.0,0.0,5781299281.0,沪市,1.7979093175486627
2010-11-12,5535208139.0,697482878.0,935012231.0,6708001.0,586997.0,0.0,5541916140.0,沪市,-4.140646061806952
2010-11-15,5777852641.0,640509031.0,397864529.0,5068891.0,191576.0,0.0,5782921532.0,沪市,4.34877370771618
2010-11-16,5759550131.0,502106601.0,520409111.0,2722873.0,279700.0,0.0,5762273004.0,沪市,-0.3570604907180641
2010-11-17,5816759463.0,492329349.0,435120017.0,4704616.0,387448.0,0.0,5821464079.0,沪市,1.0272174705868942
2010-11-18,5825398138.0,358203003.0,349564328.0,3358346.0,254548.0,0.0,5828756484.0,沪市,0.12526754268409324
2010-11-19,5603612499.0,307385398.0,529171037.0,5957617.0,358538.0,0.0,5609570116.0,沪市,-3.7604310387930773
2010-11-22,5719559877.0,469767361.0,353819983.0,4784637.0,80200.0,0.0,5724344514.0,沪市,2.046046232181542
2010-11-23,5739500620.0,287201446.0,267260703.0,7526229.0,229000.0,0.0,5747026849.0,沪市,0.39624335929686616
2010-11-24,5822662043.0,435812235.0,352650812.0,5899263.0,97800.0,0.0,5828561306.0,沪市,1.4187241358405656
2010-11-25,5970633357.0,554239093.0,406267779.0,8944840.0,191600.0,0.0,5979578197.0,沪市,2.5909805708750344
2010-11-26,5903402929.0,329668655.0,396899083.0,7255734.0,440380.0,0.0,5910658663.0,沪市,-1.1525818666369703
2010-11-29,5929259556.0,293264104.0,267407477.0,12689598.0,1604077.0,0.0,5941949154.0,沪市,0.5293909322809487
2010-11-30,5936566231.0,372617460.0,365310785.0,13391922.0,757715.0,0.0,5949958153.0,沪市,0.13478740380348242
2010-12-01,5937744337.0,263690928.0,262512822.0,13522674.0,544289.0,0.0,5951267011.0,沪市,0.021997768158077413
2010-12-02,5997821790.0,308030176.0,247952723.0,14683623.0,517948.0,0.0,6012505413.0,沪市,1.0289977224481772
2010-12-03,6090572316.0,329387031.0,236636505.0,13480634.0,317400.0,0.0,6104052950.0,沪市,1.5226187872040775
2010-12-06,6164097438.0,382055879.0,308530757.0,7827321.0,430100.0,0.0,6171924759.0,沪市,1.1119138309571897
2010-12-07,6265658521.0,452005783.0,350444700.0,6328242.0,708000.0,0.0,6271986763.0,沪市,1.6212447155012466
2010-12-08,6287597522.0,397789735.0,375850734.0,4904499.0,452850.0,0.0,6292502021.0,沪市,0.327093451807392
2010-12-09,6527614801.0,590322354.0,350305075.0,6716150.0,648581.0,0.0,6534330951.0,沪市,3.8431283644080327
2010-12-10,6644591506.0,385958637.0,268981932.0,5320758.0,604287.0,0.0,6649912264.0,沪市,1.7688316350476851
2010-12-13,7209404871.0,1038828767.0,474015402.0,11021133.0,1088500.0,0.0,7220426004.0,沪市,8.579267174524041
